name,year,cost,size,screenSize
iphone,2007,499,4,3.5
3g,2008,499,8,3.5
3gs,2009,599,8,3.5
4,2010,649,8,3.5
4s,2011,649,8,3.5
5,2012,649,16,4
5c,2013,549,16,4.0
5s,2013,649,16,4.0
6,2014,649,16,4.7
6plus,2014,749,16,5.5
6s,2015,649,16,4.7
6splus,2015,749,16,5.5
SE,2016,399,16,4.0
7,2016,649,32,4.7
7plus,2016,769,3,5.5
8,2017,699,64,4.7
8plus,2017,799,64,5.5
x,2017,999,64,5.8
XR,2018,749,64,6.1
xs,2018,999,64,5.8
xs max,2018,1099,64,6.5
11,2019,699,64,6.1
11pro,2019,999,64,5.8
11promax,2019,1099,64,6.5
SE2ndgen,2020,399,64,4.7
12mini,2020,699,64,5.4
12,2020,799,64,6.1
12pro,2020,999,128,6.1
12promax,1099,128,128,6.7
13mini,2021,699,128,5.4
13,2021,799,128,6.1
13pro,2021,999,128,6.1
13promax,2021,1099,128,6.7
